time,Power_lower_kW,Power_upper_kW,Capacity_lower_kWh,Capacity_upper_kWh
2025-09-22 19:45:00+02:00,0.0,0.0,0.0,0.0
2025-09-22 20:00:00+02:00,0.0,0.0,0.0,0.0
2025-09-22 20:15:00+02:00,-93.75,93.75,-93.75,0.0
2025-09-22 20:30:00+02:00,-187.5,187.5,-187.5,0.0
2025-09-22 20:45:00+02:00,-281.25,281.25,-281.25,0.0
2025-09-22 21:00:00+02:00,-375.0,375.0,-375.0,0.0
2025-09-22 21:15:00+02:00,-375.0,375.0,-375.0,0.0
2025-09-22 21:30:00+02:00,-375.0,375.0,-375.0,0.0
2025-09-22 21:45:00+02:00,-375.0,375.0,-375.0,0.0
2025-09-22 22:00:00+02:00,-375.0,375.0,-375.0,0.0
2025-09-22 22:15:00+02:00,-375.0,375.0,-375.0,0.0
2025-09-22 22:30:00+02:00,-375.0,375.0,-375.0,0.0
2025-09-22 22:45:00+02:00,-375.0,375.0,-375.0,0.0
2025-09-22 23:00:00+02:00,-375.0,375.0,-375.0,0.0
2025-09-22 23:15:00+02:00,-375.0,375.0,-281.25,0.0
2025-09-22 23:30:00+02:00,-375.0,375.0,-187.5,0.0
2025-09-22 23:45:00+02:00,-375.0,375.0,-93.75,0.0
2025-09-23 00:00:00+02:00,-375.0,375.0,0.0,0.0
2025-09-23 00:15:00+02:00,-281.25,281.25,0.0,0.0
2025-09-23 00:30:00+02:00,-187.5,187.5,0.0,0.0
2025-09-23 00:45:00+02:00,-93.75,93.75,0.0,0.0
2025-09-23 01:00:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 01:15:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 01:30:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 01:45:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 02:00:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 02:15:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 02:30:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 02:45:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 03:00:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 03:15:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 03:30:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 03:45:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 04:00:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 04:15:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 04:30:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 04:45:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 05:00:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 05:15:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 05:30:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 05:45:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 06:00:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 06:15:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 06:30:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 06:45:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 07:00:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 07:15:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 07:30:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 07:45:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 08:00:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 08:15:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 08:30:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 08:45:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 09:00:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 09:15:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 09:30:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 09:45:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 10:00:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 10:15:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 10:30:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 10:45:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 11:00:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 11:15:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 11:30:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 11:45:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 12:00:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 12:15:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 12:30:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 12:45:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 13:00:00+02:00,0.0,0.0,0.0,0.0
2025-09-23 13:15:00+02:00,-93.75,93.75,-5.0,93.75
2025-09-23 13:30:00+02:00,-187.5,187.5,-10.0,187.5
2025-09-23 13:45:00+02:00,-281.25,281.25,-15.0,281.25
2025-09-23 14:00:00+02:00,-375.0,375.0,-20.0,375.0
2025-09-23 14:15:00+02:00,-468.75,468.75,-108.75,370.0
2025-09-23 14:30:00+02:00,-562.5,562.5,-197.5,365.0
2025-09-23 14:45:00+02:00,-656.25,656.25,-286.25,360.0
2025-09-23 15:00:00+02:00,-750.0,750.0,-375.0,355.0
2025-09-23 15:15:00+02:00,-1125.0,1125.0,-755.0,412.5
2025-09-23 15:30:00+02:00,-1500.0,1500.0,-1135.0,470.0
2025-09-23 15:45:00+02:00,-1875.0,1875.0,-1515.0,527.5
2025-09-23 16:00:00+02:00,-2250.0,2250.0,-1895.0,585.0
2025-09-23 16:15:00+02:00,-2437.5,2437.5,-2025.0,547.25
2025-09-23 16:30:00+02:00,-2625.0,2625.0,-2155.0,509.5
2025-09-23 16:45:00+02:00,-2812.5,2812.5,-2285.0,471.75
2025-09-23 17:00:00+02:00,-3000.0,3000.0,-2415.0,434.0
2025-09-23 17:15:00+02:00,-3093.75,3093.75,-2546.5,493.0
2025-09-23 17:30:00+02:00,-3187.5,3187.5,-2678.0,552.0
2025-09-23 17:45:00+02:00,-3281.25,3281.25,-2809.5,611.0
2025-09-23 18:00:00+02:00,-3375.0,3375.0,-2941.0,670.0
2025-09-23 18:15:00+02:00,-3375.0,3375.0,-2855.75,611.0
2025-09-23 18:30:00+02:00,-3375.0,3375.0,-2770.5,552.0
2025-09-23 18:45:00+02:00,-3375.0,3375.0,-2685.25,493.0
2025-09-23 19:00:00+02:00,-3375.0,3375.0,-2600.0,434.0
2025-09-23 19:15:00+02:00,-3375.0,3375.0,-2560.25,519.25
