DATETIME,FREQ_MEAN_HZ,FREQ_MIN_HZ,FREQ_MAX_HZ,FREQ_STD_HZ,SAMPLE_COUNT,FREQ_WORST_DEV_HZ,FREQ_DROOP_MEAN,FREQ_DROOP_ABS_MEAN
2025-01-01 16:00:00,50.014216,49.973,50.073,0.025315,900,50.073,-0.072044,0.091867
2025-01-01 16:15:00,49.990491,49.961,50.037,0.015171,900,49.961,0.043622,0.066111
2025-01-01 16:30:00,49.989014,49.953,50.034,0.016878,900,49.953,0.051833,0.078656
2025-01-01 16:45:00,49.989783,49.962,50.021,0.009423,900,49.962,0.042778,0.046067
2025-01-01 17:00:00,49.98896,49.942,50.036,0.025704,900,49.942,0.057478,0.122589
2025-01-01 17:15:00,49.983887,49.963,50.012,0.008411,900,49.963,0.072444,0.072578
2025-01-01 17:30:00,49.987492,49.953,50.019,0.009918,900,49.953,0.055044,0.057778
2025-01-01 17:45:00,50.012863,49.977,50.036,0.00959,900,50.036,-0.059133,0.061511
2025-01-01 18:00:00,49.997326,49.974,50.021,0.008734,900,49.974,0.011178,0.019
2025-01-01 18:15:00,50.002081,49.977,50.028,0.009162,900,50.028,-0.007622,0.0206
2025-01-01 18:30:00,50.004958,49.974,50.03,0.010024,900,50.03,-0.021022,0.030778
2025-01-01 18:45:00,49.999693,49.976,50.026,0.009901,900,50.026,0.000722,0.022611
2025-01-01 19:00:00,50.001701,49.964,50.035,0.013565,900,49.964,-0.007289,0.044133
2025-01-01 19:15:00,49.999186,49.972,50.025,0.009845,900,49.972,0.003711,0.021244
2025-01-01 19:30:00,50.008143,49.98,50.031,0.008141,900,50.031,-0.029983,0.034072
2025-01-01 19:45:00,50.003069,49.969,50.034,0.01426,900,50.034,-0.0121,0.051133
2025-01-01 20:00:00,49.976512,49.937,50.013,0.01562,900,49.937,0.112172,0.112461
2025-01-01 20:15:00,50.001428,49.974,50.025,0.011188,900,49.974,-0.007211,0.031878
2025-01-01 20:30:00,50.000039,49.974,50.024,0.009514,900,49.974,0.003556,0.0202
2025-01-01 20:45:00,50.004881,49.969,50.031,0.011949,900,50.031,-0.023133,0.0412
2025-01-01 21:00:00,49.976103,49.929,50.017,0.017562,900,49.929,0.114244,0.115489
2025-01-01 21:15:00,50.011218,49.974,50.034,0.010544,900,50.034,-0.049633,0.0543
2025-01-01 21:30:00,49.996398,49.958,50.028,0.014706,900,49.958,0.025311,0.045444
2025-01-01 21:45:00,50.002316,49.972,50.024,0.009805,900,49.972,-0.006933,0.026178
2025-01-01 22:00:00,49.982591,49.864,50.017,0.029949,900,49.864,0.083478,0.085767
2025-01-01 22:15:00,50.009697,49.981,50.031,0.010436,900,50.031,-0.044839,0.052283
2025-01-01 22:30:00,50.005638,49.973,50.032,0.011861,900,50.032,-0.022689,0.041178
2025-01-01 22:45:00,50.015221,49.976,50.043,0.013646,900,50.043,-0.072961,0.08585
2025-01-01 23:00:00,49.985892,49.958,50.018,0.014604,900,49.958,0.0727,0.077322
2025-01-01 23:15:00,50.005652,49.98,50.028,0.009065,900,50.028,-0.020578,0.029067
2025-01-01 23:30:00,50.002689,49.966,50.027,0.013121,900,49.966,-0.014133,0.045044
2025-01-01 23:45:00,50.012788,49.97,50.039,0.010072,900,50.039,-0.059067,0.064378
2025-01-02 00:00:00,49.962972,49.913,50.043,0.030041,900,49.913,0.184511,0.208244
2025-01-02 00:15:00,50.014692,49.96,50.045,0.016415,900,50.045,-0.070583,0.093672
2025-01-02 00:30:00,50.006651,49.982,50.033,0.008577,900,50.033,-0.025911,0.029156
2025-01-02 00:45:00,50.015516,49.976,50.056,0.017193,900,50.056,-0.073067,0.079856
2025-01-02 01:00:00,49.996142,49.954,50.028,0.016245,900,49.954,0.021056,0.053556
2025-01-02 01:15:00,50.00982,49.981,50.034,0.008787,900,50.034,-0.04015,0.042261
2025-01-02 01:30:00,50.003699,49.974,50.028,0.011571,900,50.028,-0.011989,0.035544
2025-01-02 01:45:00,50.018809,49.999,50.036,0.006213,900,50.036,-0.090744,0.090744
2025-01-02 02:00:00,49.983129,49.948,50.005,0.010665,900,49.948,0.074467,0.074467
2025-01-02 02:15:00,50.004967,49.978,50.034,0.010218,900,50.034,-0.021422,0.030956
2025-01-02 02:30:00,50.020389,49.996,50.05,0.010032,900,50.05,-0.097067,0.097067
2025-01-02 02:45:00,50.012474,49.977,50.04,0.010632,900,50.04,-0.054394,0.05615
2025-01-02 03:00:00,49.995439,49.971,50.025,0.010906,900,49.971,0.022506,0.032694
2025-01-02 03:15:00,50.002687,49.981,50.03,0.008894,900,50.03,-0.008622,0.020578
2025-01-02 03:30:00,50.007748,49.974,50.027,0.00876,900,50.027,-0.028644,0.037133
2025-01-02 03:45:00,50.00329,49.976,50.023,0.00788,900,49.976,-0.010678,0.016233
2025-01-02 04:00:00,50.00856,49.967,50.039,0.011329,900,50.039,-0.032544,0.043878
2025-01-02 04:15:00,50.008776,49.978,50.042,0.01312,900,50.042,-0.043544,0.057856
2025-01-02 04:30:00,50.002826,49.968,50.028,0.011271,900,49.968,-0.011617,0.033117
2025-01-02 04:45:00,50.003911,49.978,50.037,0.012762,900,50.037,-0.020528,0.041872
2025-01-02 05:00:00,50.012664,49.966,50.038,0.01279,900,50.038,-0.056389,0.067767
2025-01-02 05:15:00,49.999264,49.973,50.022,0.008952,900,49.973,0.0007,0.018033
2025-01-02 05:30:00,49.990418,49.968,50.015,0.008313,900,49.968,0.036522,0.040033
2025-01-02 05:45:00,50.000987,49.965,50.041,0.015013,900,50.041,-0.001194,0.04675
2025-01-02 06:00:00,50.011726,49.979,50.068,0.017563,900,50.068,-0.056272,0.07465
2025-01-02 06:15:00,50.000169,49.973,50.036,0.012225,900,50.036,-0.004711,0.033667
2025-01-02 06:30:00,50.015852,49.988,50.042,0.01002,900,50.042,-0.073461,0.073728
2025-01-02 06:45:00,50.01516,49.983,50.042,0.012452,900,50.042,-0.072033,0.074767
2025-01-02 07:00:00,50.022183,49.994,50.051,0.012816,900,50.051,-0.107661,0.107661
2025-01-02 07:15:00,49.999662,49.961,50.041,0.01442,900,50.041,-0.001811,0.041722
2025-01-02 07:30:00,50.009186,49.981,50.048,0.013546,900,50.048,-0.045272,0.050917
2025-01-02 07:45:00,50.018726,49.981,50.06,0.016721,900,50.06,-0.090139,0.095428
2025-01-02 08:00:00,50.034603,49.988,50.078,0.02074,900,50.078,-0.170528,0.170794
2025-01-02 08:15:00,50.010856,49.981,50.033,0.008241,900,50.033,-0.044122,0.045167
2025-01-02 08:30:00,50.018233,49.984,50.063,0.014975,900,50.063,-0.0859,0.087322
2025-01-02 08:45:00,50.017626,50.001,50.038,0.007383,900,50.038,-0.081006,0.081006
2025-01-02 09:00:00,50.011271,49.957,50.039,0.015459,900,49.957,-0.052078,0.076767
2025-01-02 09:15:00,50.010178,49.984,50.033,0.009194,900,50.033,-0.043622,0.045867
2025-01-02 09:30:00,50.011162,49.969,50.038,0.013468,900,50.038,-0.0516,0.070956
2025-01-02 09:45:00,50.010203,49.984,50.034,0.010013,900,50.034,-0.0437,0.050033
2025-01-02 10:00:00,50.002714,49.935,50.065,0.035276,900,50.065,-0.014556,0.153956
2025-01-02 10:15:00,50.025277,49.99,50.06,0.010199,900,50.06,-0.125794,0.125794
2025-01-02 10:30:00,50.011841,49.987,50.033,0.008878,900,50.033,-0.051006,0.052317
2025-01-02 10:45:00,50.021328,49.989,50.047,0.009635,900,50.047,-0.102361,0.102606
2025-01-02 11:00:00,49.998986,49.971,50.025,0.011764,900,49.971,0.000294,0.034794
2025-01-02 11:15:00,50.017518,49.991,50.041,0.008193,900,50.041,-0.082233,0.082233
2025-01-02 11:30:00,50.007697,49.983,50.034,0.010264,900,50.034,-0.035678,0.039278
2025-01-02 11:45:00,50.001746,49.975,50.031,0.011222,900,50.031,-0.010333,0.030756
2025-01-02 12:00:00,49.98843,49.926,50.035,0.02798,900,49.926,0.061217,0.107294
2025-01-02 12:15:00,50.016153,49.986,50.048,0.011685,900,50.048,-0.075556,0.077556
2025-01-02 12:30:00,50.011398,49.979,50.037,0.013957,900,50.037,-0.058244,0.073089
2025-01-02 12:45:00,50.016844,49.987,50.044,0.010247,900,50.044,-0.08065,0.081183
2025-01-02 13:00:00,49.973142,49.931,50.01,0.017353,900,49.931,0.131622,0.131622
2025-01-02 13:15:00,50.011586,49.978,50.036,0.01042,900,50.036,-0.052222,0.056689
2025-01-02 13:30:00,49.995924,49.964,50.034,0.014379,900,49.964,0.017567,0.048433
2025-01-02 13:45:00,49.995477,49.959,50.06,0.022109,900,50.06,0.018739,0.087328
2025-01-02 14:00:00,50.004501,49.965,50.049,0.019559,900,50.049,-0.023194,0.074106
2025-01-02 14:15:00,49.991519,49.956,50.03,0.016645,900,49.956,0.042317,0.063072
2025-01-02 14:30:00,49.998942,49.969,50.03,0.012747,900,49.969,0.002878,0.036967
2025-01-02 14:45:00,49.99893,49.96,50.038,0.014251,900,49.96,0.005828,0.04505
2025-01-02 15:00:00,50.021191,49.968,50.081,0.031334,900,50.081,-0.103933,0.141067
2025-01-02 15:15:00,50.003676,49.969,50.035,0.014634,900,50.035,-0.017478,0.051322
2025-01-02 15:30:00,49.995814,49.961,50.05,0.020013,900,50.05,0.016567,0.080967
2025-01-02 15:45:00,49.99387,49.962,50.025,0.012154,900,49.962,0.027244,0.042644
2025-01-02 16:00:00,50.020119,49.98,50.064,0.021673,900,50.064,-0.102644,0.116689
2025-01-02 16:15:00,49.99237,49.965,50.029,0.011169,900,49.965,0.031911,0.044911
2025-01-02 16:30:00,50.001493,49.96,50.042,0.016037,900,50.042,-0.012344,0.052211
2025-01-02 16:45:00,49.991008,49.961,50.029,0.011958,900,49.961,0.040439,0.049761
2025-01-02 17:00:00,50.025318,49.982,50.073,0.020055,900,50.073,-0.121089,0.121867
2025-01-02 17:15:00,50.005306,49.968,50.038,0.013497,900,50.038,-0.024983,0.048717
2025-01-02 17:30:00,50.010312,49.982,50.029,0.008595,900,50.029,-0.041983,0.045428
2025-01-02 17:45:00,50.017509,49.993,50.045,0.009106,900,50.045,-0.083094,0.083094
2025-01-02 18:00:00,50.012533,49.985,50.037,0.011411,900,50.037,-0.060894,0.063539
2025-01-02 18:15:00,49.998136,49.971,50.034,0.011887,900,50.034,0.008956,0.036289
2025-01-02 18:30:00,50.014937,49.986,50.036,0.008453,900,50.036,-0.069406,0.069717
2025-01-02 18:45:00,50.026907,49.99,50.058,0.009573,900,50.058,-0.1331,0.1331
