time,Power_lower_kW,Power_upper_kW,Capacity_lower_kWh,Capacity_upper_kWh,Ref_driving_energy_kWh
2026-01-01 00:00:00+01:00,0.0,0.0,0.0,0.0,0.0
2026-01-01 00:15:00+01:00,-100.0,100.0,0.0,0.0,19.46706666666667
2026-01-01 00:30:00+01:00,-100.0,100.0,8.401200000000017,25.0,19.46706666666667
2026-01-01 00:45:00+01:00,-100.0,100.0,33.40120000000002,33.40120000000002,19.46706666666667
2026-01-01 01:00:00+01:00,0.0,0.0,58.40120000000002,58.40120000000002,0.0
2026-01-01 01:15:00+01:00,0.0,0.0,58.40120000000002,58.40120000000002,0.0
2026-01-01 01:30:00+01:00,0.0,0.0,58.40120000000002,58.40120000000002,0.0
2026-01-01 01:45:00+01:00,0.0,0.0,58.40120000000002,58.40120000000002,0.0
2026-01-01 02:00:00+01:00,0.0,0.0,58.40120000000002,58.40120000000002,0.0
2026-01-01 02:15:00+01:00,0.0,0.0,58.40120000000002,58.40120000000002,0.0
2026-01-01 02:30:00+01:00,0.0,0.0,58.40120000000002,58.40120000000002,0.0
2026-01-01 02:45:00+01:00,-100.0,100.0,58.40120000000002,58.40120000000002,14.362919999999997
2026-01-01 03:00:00+01:00,-100.0,100.0,33.40120000000002,83.40120000000002,14.362919999999997
2026-01-01 03:15:00+01:00,-100.0,100.0,58.40120000000002,58.40120000000002,14.362919999999997
2026-01-01 03:30:00+01:00,-100.0,100.0,33.40120000000002,83.40120000000002,14.362919999999997
2026-01-01 03:45:00+01:00,-100.0,100.0,58.40120000000002,58.40120000000002,14.362919999999997
2026-01-01 04:00:00+01:00,-100.0,100.0,77.03039999999999,83.40120000000002,14.362919999999997
2026-01-01 04:15:00+01:00,-100.0,100.0,102.03039999999999,102.03039999999999,14.362919999999997
2026-01-01 04:30:00+01:00,-100.0,100.0,127.03039999999999,127.03039999999999,14.362919999999997
2026-01-01 04:45:00+01:00,-100.0,100.0,152.0304,152.0304,14.362919999999997
2026-01-01 05:00:00+01:00,-100.0,100.0,177.0304,177.0304,14.362919999999997
2026-01-01 05:15:00+01:00,0.0,0.0,202.0304,202.0304,0.0
2026-01-01 05:30:00+01:00,-100.0,100.0,202.0304,202.0304,31.523555555555554
2026-01-01 05:45:00+01:00,-100.0,100.0,227.0304,227.0304,31.523555555555554
2026-01-01 06:00:00+01:00,-200.0,200.0,252.0304,252.0304,75.07563555555555
2026-01-01 06:15:00+01:00,-200.0,200.0,302.0304,302.0304,75.07563555555555
2026-01-01 06:30:00+01:00,-200.0,200.0,352.0304,352.0304,75.07563555555555
2026-01-01 06:45:00+01:00,-200.0,200.0,402.0304,402.0304,75.07563555555555
2026-01-01 07:00:00+01:00,-200.0,200.0,452.0304,452.0304,75.07563555555555
2026-01-01 07:15:00+01:00,-200.0,200.0,502.0304,502.0304,203.58115555555557
2026-01-01 07:30:00+01:00,-200.0,200.0,552.0304,552.0304,203.58115555555557
2026-01-01 07:45:00+01:00,0.0,0.0,602.0304,602.0304,0.0
2026-01-01 08:00:00+01:00,0.0,0.0,602.0304,602.0304,0.0
2026-01-01 08:15:00+01:00,0.0,0.0,602.0304,602.0304,0.0
2026-01-01 08:30:00+01:00,0.0,0.0,602.0304,602.0304,0.0
2026-01-01 08:45:00+01:00,0.0,0.0,602.0304,602.0304,0.0
2026-01-01 09:00:00+01:00,0.0,0.0,602.0304,602.0304,0.0
2026-01-01 09:15:00+01:00,0.0,0.0,602.0304,602.0304,0.0
2026-01-01 09:30:00+01:00,0.0,0.0,602.0304,602.0304,0.0
2026-01-01 09:45:00+01:00,0.0,0.0,602.0304,602.0304,0.0
2026-01-01 10:00:00+01:00,0.0,0.0,602.0304,602.0304,0.0
2026-01-01 10:15:00+01:00,0.0,0.0,602.0304,602.0304,0.0
2026-01-01 10:30:00+01:00,-100.0,100.0,602.0304,602.0304,2.288
2026-01-01 10:45:00+01:00,-100.0,100.0,577.0304,627.0304,2.288
2026-01-01 11:00:00+01:00,-100.0,100.0,602.0304,602.0304,2.288
2026-01-01 11:15:00+01:00,-200.0,200.0,577.0304,627.0304,18.253155555555555
2026-01-01 11:30:00+01:00,-200.0,200.0,577.0304,627.0304,18.253155555555555
2026-01-01 11:45:00+01:00,-200.0,200.0,577.0304,627.0304,18.253155555555555
2026-01-01 12:00:00+01:00,-200.0,200.0,595.7167999999999,627.0304,18.253155555555555
2026-01-01 12:15:00+01:00,-200.0,200.0,595.7167999999999,645.7167999999999,18.253155555555555
2026-01-01 12:30:00+01:00,-400.0,400.0,645.7167999999999,645.7167999999999,25.977121613557703
2026-01-01 12:45:00+01:00,-400.0,400.0,595.7167999999999,745.7167999999999,25.977121613557703
2026-01-01 13:00:00+01:00,-500.0,500.0,695.7167999999999,695.7167999999999,31.18448010412374
2026-01-01 13:15:00+01:00,-500.0,500.0,620.7167999999999,820.7167999999999,31.18448010412374
2026-01-01 13:30:00+01:00,-400.0,400.0,745.7167999999999,745.7167999999999,15.219324548568185
2026-01-01 13:45:00+01:00,-400.0,400.0,645.7167999999999,845.7167999999999,15.219324548568185
2026-01-01 14:00:00+01:00,-400.0,400.0,745.7167999999999,745.7167999999999,15.219324548568185
2026-01-01 14:15:00+01:00,-400.0,400.0,645.7167999999999,845.7167999999999,15.219324548568185
2026-01-01 14:30:00+01:00,-400.0,400.0,745.7167999999999,745.7167999999999,15.219324548568185
