fleet,horizon_h,total_potential_gross_profit_delta_eur,n_vehicles,total_potential_gross_profit_delta_eur_per_year,total_potential_gross_profit_delta_eur_per_year_per_bet
F1,1,61909.89949619591,18,288128.951832475,16007.163990693058
F1,2,62110.38738598107,18,289062.0233769128,16059.001298717378
F1,4,62179.45550778476,18,289383.46672769,16076.859262649445
F1,8,62294.15324360313,18,289917.27050814894,16106.515028230497
F1,12,62208.76862188258,18,289519.8900930755,16084.438338504195
F1,24,87507.98587813097,18,407262.5614516814,22625.697858426745
F1,36,111198.882630339,18,517520.1019215139,28751.116773417438
F1,48,111668.24789555396,18,519704.5299854178,28872.473888078766
F2,1,28033.34054236028,5,122342.53986851465,24468.50797370293
F2,2,28096.08534362798,5,122616.3694657771,24523.27389315542
F2,4,28085.74400270045,5,122571.23799409934,24514.247598819868
F2,8,28131.305474113942,5,122770.07644948966,24554.015289897932
F2,12,28380.14492335987,5,123856.05655928879,24771.211311857758
F2,24,39148.56549614041,5,170851.38061835343,34170.27612367069
F2,36,53627.81872154104,5,234041.44575947165,46808.28915189433
F2,48,53703.92932752584,5,234373.60613233343,46874.72122646669
F3,1,56423.54057587791,12,262490.82073536405,21874.23506128034
F3,2,56593.96064554587,12,263283.6406027519,21940.30338356266
F3,4,56598.1503882808,12,263303.131917865,21941.927659822086
F3,8,56674.80692560306,12,263659.74969106895,21971.64580758908
F3,12,56727.04054996664,12,263902.74838964833,21991.89569913736
F3,24,76124.05471670862,12,354140.5838121973,29511.71531768311
F3,36,97663.274964451,12,454344.285017839,37862.02375148658
F3,48,97814.90547431888,12,455049.69301913615,37920.80775159468
F4,1,48102.93483076448,18,226002.52567310104,12555.695870727835
F4,2,48201.183250442766,18,226464.12725871743,12581.34040326208
F4,4,48267.052599479415,18,226773.6019154946,12598.533439749699
F4,8,48297.82003609945,18,226918.1568872251,12606.564271512507
F4,12,48151.03450229859,18,226228.51286679308,12568.250714821837
F4,24,66014.79928843322,18,310158.027228037,17231.00151266872
F4,36,82561.52290125546,18,387899.6731643861,21549.981842465895
F4,48,82724.83093855734,18,388666.9450371479,21592.608057619327
F5,1,35837.99489149897,13,169606.0698268671,13046.620755912854
F5,2,35874.19035074702,13,169777.3676242809,13059.797509560069
F5,4,36014.44109481789,13,170441.11506785778,13110.85500521983
F5,8,35940.09932861329,13,170089.28693606288,13083.791302774069
F5,12,36037.24225309204,13,170549.02330474678,13119.155638826674
F5,24,50981.02473189386,13,241271.62433894663,18559.35571838051
F5,36,73976.96325366289,13,350101.6737450497,26930.897980388436
F5,48,74018.60623156329,13,350298.75234386517,26946.05787260501
F6,1,88705.98913306932,84,411580.7546640292,4899.770888857491
F6,2,88870.31286781294,84,412343.1889417592,4908.847487401895
F6,4,88908.58156636427,84,412520.74921681726,4910.961300200205
F6,8,88992.97169709986,84,412912.30512001837,4915.622680000219
F6,12,89035.89798788409,84,413111.4758336147,4917.993759923985
F6,24,145871.12211819258,84,676817.2827094104,8057.348603683457
F6,36,230553.9707060556,84,1069731.3471319105,12734.896989665602
F6,48,241173.23253039373,84,1119002.922121954,13321.46335859469
