market,delivery_time,current_time,next_time,gate_closure_time,p_opt,open_now,open_next,committed_old,committed_new,commit_now
ID,2025-10-01 00:00:00+02:00,2025-10-01 00:00:00+02:00,2025-10-01 00:15:00+02:00,2025-09-30 23:45:00+02:00,0.0,False,False,0.0,0.0,False
ID,2025-10-01 00:15:00+02:00,2025-10-01 00:00:00+02:00,2025-10-01 00:15:00+02:00,2025-10-01 00:00:00+02:00,0.0,True,False,0.0,0.0,True
ID,2025-10-01 00:15:00+02:00,2025-10-01 00:15:00+02:00,2025-10-01 00:30:00+02:00,2025-10-01 00:00:00+02:00,0.0,False,False,0.0,0.0,False
ID,2025-10-01 00:30:00+02:00,2025-10-01 00:00:00+02:00,2025-10-01 00:15:00+02:00,2025-10-01 00:15:00+02:00,0.0,True,True,0.0,0.0,False
ID,2025-10-01 00:30:00+02:00,2025-10-01 00:15:00+02:00,2025-10-01 00:30:00+02:00,2025-10-01 00:15:00+02:00,0.0,True,False,0.0,0.0,True
ID,2025-10-01 00:30:00+02:00,2025-10-01 00:30:00+02:00,2025-10-01 00:45:00+02:00,2025-10-01 00:15:00+02:00,0.0,False,False,0.0,0.0,False
ID,2025-10-01 00:45:00+02:00,2025-10-01 00:00:00+02:00,2025-10-01 00:15:00+02:00,2025-10-01 00:30:00+02:00,1000.0,True,True,0.0,0.0,False
ID,2025-10-01 00:45:00+02:00,2025-10-01 00:15:00+02:00,2025-10-01 00:30:00+02:00,2025-10-01 00:30:00+02:00,1000.0,True,True,0.0,0.0,False
ID,2025-10-01 00:45:00+02:00,2025-10-01 00:30:00+02:00,2025-10-01 00:45:00+02:00,2025-10-01 00:30:00+02:00,1000.0,True,False,0.0,1000.0,True
ID,2025-10-01 00:45:00+02:00,2025-10-01 00:45:00+02:00,2025-10-01 01:00:00+02:00,2025-10-01 00:30:00+02:00,1000.0,False,False,1000.0,1000.0,False
