time,Power_lower_kW,Power_upper_kW,Capacity_lower_kWh,Capacity_upper_kWh,Ref_driving_energy_kWh
2026-01-01 00:00:00+01:00,0.0,0.0,0.0,0.0,0.0
2026-01-01 00:15:00+01:00,-100.0,100.0,0.0,0.0,21.630074074074077
2026-01-01 00:30:00+01:00,-100.0,100.0,13.401200000000017,22.5,21.630074074074077
2026-01-01 00:45:00+01:00,-100.0,100.0,35.90120000000002,35.90120000000002,21.630074074074077
2026-01-01 01:00:00+01:00,0.0,0.0,58.40120000000002,58.40120000000002,0.0
2026-01-01 01:15:00+01:00,0.0,0.0,58.40120000000002,58.40120000000002,0.0
2026-01-01 01:30:00+01:00,0.0,0.0,58.40120000000002,58.40120000000002,0.0
2026-01-01 01:45:00+01:00,0.0,0.0,58.40120000000002,58.40120000000002,0.0
2026-01-01 02:00:00+01:00,0.0,0.0,58.40120000000002,58.40120000000002,0.0
2026-01-01 02:15:00+01:00,0.0,0.0,58.40120000000002,58.40120000000002,0.0
2026-01-01 02:30:00+01:00,0.0,0.0,58.40120000000002,58.40120000000002,0.0
2026-01-01 02:45:00+01:00,-100.0,100.0,58.40120000000002,58.40120000000002,15.958799999999997
2026-01-01 03:00:00+01:00,-100.0,100.0,30.62342222222224,80.90120000000002,15.958799999999997
2026-01-01 03:15:00+01:00,-100.0,100.0,53.12342222222224,53.12342222222224,15.958799999999997
2026-01-01 03:30:00+01:00,-100.0,100.0,44.530399999999986,75.62342222222225,15.958799999999997
2026-01-01 03:45:00+01:00,-100.0,100.0,67.03039999999999,67.03039999999999,15.958799999999997
2026-01-01 04:00:00+01:00,-100.0,100.0,89.53039999999999,89.53039999999999,15.958799999999997
2026-01-01 04:15:00+01:00,-100.0,100.0,112.03039999999999,112.03039999999999,15.958799999999997
2026-01-01 04:30:00+01:00,-100.0,100.0,134.5304,134.5304,15.958799999999997
2026-01-01 04:45:00+01:00,-100.0,100.0,157.0304,157.0304,15.958799999999997
2026-01-01 05:00:00+01:00,-100.0,100.0,179.5304,179.5304,15.958799999999997
2026-01-01 05:15:00+01:00,0.0,0.0,202.0304,202.0304,0.0
2026-01-01 05:30:00+01:00,-100.0,100.0,202.0304,202.0304,35.026172839506174
2026-01-01 05:45:00+01:00,-100.0,100.0,224.5304,224.5304,35.026172839506174
2026-01-01 06:00:00+01:00,-200.0,200.0,247.0304,247.0304,83.41737283950617
2026-01-01 06:15:00+01:00,-200.0,200.0,292.0304,292.0304,83.41737283950617
2026-01-01 06:30:00+01:00,-200.0,200.0,337.0304,337.0304,83.41737283950617
2026-01-01 06:45:00+01:00,-200.0,200.0,382.0304,382.0304,83.41737283950617
2026-01-01 07:00:00+01:00,-200.0,200.0,427.0304,427.0304,83.41737283950617
2026-01-01 07:15:00+01:00,-200.0,200.0,472.0304,472.0304,226.20128395061727
2026-01-01 07:30:00+01:00,-200.0,200.0,517.0304,517.0304,226.20128395061727
2026-01-01 07:45:00+01:00,0.0,0.0,562.0304,562.0304,0.0
2026-01-01 08:00:00+01:00,0.0,0.0,562.0304,562.0304,0.0
2026-01-01 08:15:00+01:00,0.0,0.0,562.0304,562.0304,0.0
2026-01-01 08:30:00+01:00,0.0,0.0,562.0304,562.0304,0.0
2026-01-01 08:45:00+01:00,0.0,0.0,562.0304,562.0304,0.0
2026-01-01 09:00:00+01:00,0.0,0.0,562.0304,562.0304,0.0
2026-01-01 09:15:00+01:00,0.0,0.0,562.0304,562.0304,0.0
2026-01-01 09:30:00+01:00,0.0,0.0,562.0304,562.0304,0.0
2026-01-01 09:45:00+01:00,0.0,0.0,562.0304,562.0304,0.0
2026-01-01 10:00:00+01:00,0.0,0.0,562.0304,562.0304,0.0
2026-01-01 10:15:00+01:00,0.0,0.0,562.0304,562.0304,0.0
2026-01-01 10:30:00+01:00,-100.0,100.0,562.0304,562.0304,6.44587134502924
2026-01-01 10:45:00+01:00,-100.0,100.0,534.2526222222223,584.5304,6.44587134502924
2026-01-01 11:00:00+01:00,-100.0,100.0,556.7526222222223,556.7526222222223,6.44587134502924
2026-01-01 11:15:00+01:00,-200.0,200.0,528.9748444444444,579.2526222222223,26.1410318388564
2026-01-01 11:30:00+01:00,-200.0,200.0,531.0056444444444,573.9748444444444,26.1410318388564
2026-01-01 11:45:00+01:00,-200.0,200.0,525.7278666666666,576.0056444444444,26.1410318388564
2026-01-01 12:00:00+01:00,-200.0,200.0,570.7278666666666,570.7278666666666,26.1410318388564
2026-01-01 12:15:00+01:00,-200.0,200.0,565.4500888888889,615.7278666666666,26.1410318388564
2026-01-01 12:30:00+01:00,-400.0,400.0,610.4500888888889,610.4500888888889,35.86721634774767
2026-01-01 12:45:00+01:00,-400.0,400.0,549.6167555555555,700.4500888888889,35.86721634774767
2026-01-01 13:00:00+01:00,-500.0,500.0,639.6167555555555,639.6167555555555,41.65317022615439
2026-01-01 13:15:00+01:00,-500.0,500.0,551.0056444444444,752.1167555555555,41.65317022615439
2026-01-01 13:30:00+01:00,-400.0,400.0,663.5056444444444,663.5056444444444,21.958009732327223
2026-01-01 13:45:00+01:00,-400.0,400.0,552.3945333333334,753.5056444444444,21.958009732327223
2026-01-01 14:00:00+01:00,-400.0,400.0,642.3945333333334,642.3945333333334,21.958009732327223
2026-01-01 14:15:00+01:00,-400.0,400.0,531.2834222222223,732.3945333333334,21.958009732327223
2026-01-01 14:30:00+01:00,-400.0,400.0,621.2834222222223,621.2834222222223,21.958009732327223
2026-01-01 14:45:00+01:00,-400.0,400.0,510.17231111111107,711.2834222222223,21.958009732327223
2026-01-01 15:00:00+01:00,-400.0,400.0,600.1723111111111,600.1723111111111,21.958009732327223
2026-01-01 15:15:00+01:00,-400.0,400.0,489.0612,690.1723111111111,21.958009732327223
2026-01-01 15:30:00+01:00,-400.0,400.0,579.0611999999999,579.0611999999999,21.958009732327223
2026-01-01 15:45:00+01:00,-400.0,400.0,471.5021333333333,669.0611999999999,21.958009732327223
2026-01-01 16:00:00+01:00,-400.0,400.0,561.5021333333333,561.5021333333333,21.958009732327223
2026-01-01 16:15:00+01:00,-400.0,400.0,500.6688,651.5021333333333,21.958009732327223
2026-01-01 16:30:00+01:00,-500.0,500.0,590.6687999999999,590.6687999999999,48.053920843438334
2026-01-01 16:45:00+01:00,-500.0,500.0,552.3354666666667,703.1687999999999,48.053920843438334
2026-01-01 17:00:00+01:00,-500.0,500.0,664.8354666666667,664.8354666666667,48.053920843438334
2026-01-01 17:15:00+01:00,-400.0,400.0,626.5021333333334,777.3354666666667,43.42774540484184
2026-01-01 17:30:00+01:00,-400.0,400.0,716.5021333333333,716.5021333333334,43.42774540484184
2026-01-01 17:45:00+01:00,-300.0,300.0,655.6688,806.5021333333333,17.331834293730733
2026-01-01 18:00:00+01:00,-300.0,300.0,723.1687999999999,723.1688,17.331834293730733
2026-01-01 18:15:00+01:00,-300.0,300.0,639.8354666666667,790.6687999999999,17.331834293730733
2026-01-01 18:30:00+01:00,-300.0,300.0,707.3354666666667,707.3354666666667,17.331834293730733
2026-01-01 18:45:00+01:00,-300.0,300.0,624.0021333333334,774.8354666666667,17.331834293730733
2026-01-01 19:00:00+01:00,-300.0,300.0,691.5021333333333,691.5021333333334,17.331834293730733
2026-01-01 19:15:00+01:00,-300.0,300.0,608.1688000000001,759.0021333333333,17.331834293730733
2026-01-01 19:30:00+01:00,-300.0,300.0,675.6688,675.6688000000001,17.331834293730733
2026-01-01 19:45:00+01:00,-300.0,300.0,595.7864444444444,743.1688,17.331834293730733
2026-01-01 20:00:00+01:00,-300.0,300.0,663.2864444444444,663.2864444444444,17.331834293730733
2026-01-01 20:15:00+01:00,-300.0,300.0,630.230888888889,730.7864444444444,17.331834293730733
2026-01-01 20:30:00+01:00,-300.0,300.0,697.7308888888889,697.730888888889,17.331834293730733
2026-01-01 20:45:00+01:00,-300.0,300.0,664.6753333333334,765.2308888888889,17.331834293730733
2026-01-01 21:00:00+01:00,-300.0,300.0,732.1753333333334,732.1753333333334,17.331834293730733
2026-01-01 21:15:00+01:00,-400.0,400.0,726.5301777777778,799.6753333333334,34.42827873817518
2026-01-01 21:30:00+01:00,-400.0,400.0,766.2524,816.5301777777778,34.42827873817518
2026-01-01 21:45:00+01:00,-400.0,400.0,805.9746222222223,856.2524,34.42827873817518
2026-01-01 22:00:00+01:00,-400.0,400.0,868.0072,895.9746222222223,34.42827873817518
2026-01-01 22:15:00+01:00,-500.0,500.0,946.4972000000001,958.0072000000001,81.57590836780483
2026-01-01 22:30:00+01:00,-500.0,500.0,1058.9972000000002,1058.9972000000002,81.57590836780483
2026-01-01 22:45:00+01:00,-500.0,500.0,1171.4972000000002,1171.4972000000002,81.57590836780483
2026-01-01 23:00:00+01:00,-500.0,500.0,1283.9972000000002,1283.9972000000002,81.57590836780483
2026-01-01 23:15:00+01:00,-500.0,500.0,1396.4972000000002,1396.4972000000002,81.57590836780483
2026-01-01 23:30:00+01:00,-500.0,500.0,1508.9972000000002,1508.9972000000002,81.57590836780483
2026-01-01 23:45:00+01:00,-400.0,400.0,1621.4972000000002,1621.4972000000002,34.42827873817518
2026-01-02 00:00:00+01:00,-300.0,300.0,1711.4972000000002,1711.4972000000002,17.331834293730733
2026-01-02 00:15:00+01:00,-400.0,400.0,1778.9972000000002,1778.9972000000002,56.92694540484185
2026-01-02 00:30:00+01:00,-400.0,400.0,1868.9972000000002,1868.9972000000002,56.92694540484185
2026-01-02 00:45:00+01:00,-100.0,100.0,1958.9972000000002,1958.9972000000002,5.785953878406708
2026-01-02 01:00:00+01:00,-100.0,100.0,1981.4972000000002,1981.4972000000002,5.785953878406708
2026-01-02 01:15:00+01:00,-200.0,200.0,2003.9972000000002,2003.9972000000002,39.24795387840668
2026-01-02 01:30:00+01:00,-200.0,200.0,2048.9972000000002,2048.9972000000002,39.24795387840668
2026-01-02 01:45:00+01:00,-200.0,200.0,2093.9972000000002,2093.9972000000002,19.539376100628928
2026-01-02 02:00:00+01:00,-200.0,200.0,2088.7194222222224,2138.9972000000002,19.539376100628928
2026-01-02 02:15:00+01:00,-100.0,100.0,2133.7194222222224,2133.7194222222224,13.753422222222222
2026-01-02 02:30:00+01:00,-100.0,100.0,2105.9416444444446,2156.2194222222224,13.753422222222222
2026-01-02 02:45:00+01:00,-200.0,200.0,2128.4416444444446,2128.4416444444446,23.975831578947368
2026-01-02 03:00:00+01:00,-200.0,200.0,2122.5002222222224,2173.4416444444446,23.975831578947368
2026-01-02 03:15:00+01:00,-200.0,200.0,2167.5002222222224,2167.5002222222224,23.975831578947368
