time,Power_lower_kW,Power_upper_kW,Capacity_lower_kWh,Capacity_upper_kWh,Ref_driving_energy_kWh
2026-01-01 00:00:00+01:00,0.0,0.0,0.0,0.0,0.0
2026-01-01 00:15:00+01:00,-350.0,350.0,0.0,0.0,30.83080000000001
2026-01-01 00:30:00+01:00,-350.0,350.0,-25.83839999999998,61.66160000000002,30.83080000000001
2026-01-01 00:45:00+01:00,0.0,0.0,61.66160000000002,61.66160000000002,0.0
2026-01-01 01:00:00+01:00,0.0,0.0,61.66160000000002,61.66160000000002,0.0
2026-01-01 01:15:00+01:00,-350.0,350.0,61.66160000000002,61.66160000000002,3.269933333333332
2026-01-01 01:30:00+01:00,-350.0,350.0,-25.83839999999998,120.5204,3.269933333333332
2026-01-01 01:45:00+01:00,-350.0,350.0,33.020399999999995,61.66160000000002,3.269933333333332
2026-01-01 02:00:00+01:00,-350.0,350.0,-25.83839999999998,120.5204,3.269933333333332
2026-01-01 02:15:00+01:00,-350.0,350.0,33.020399999999995,61.66160000000002,3.269933333333332
2026-01-01 02:30:00+01:00,-350.0,350.0,-25.83839999999998,120.5204,3.269933333333332
2026-01-01 02:45:00+01:00,-350.0,350.0,33.020399999999995,61.66160000000002,3.269933333333332
2026-01-01 03:00:00+01:00,-350.0,350.0,-25.83839999999998,120.5204,3.269933333333332
2026-01-01 03:15:00+01:00,-350.0,350.0,33.020399999999995,61.66160000000002,3.269933333333332
2026-01-01 03:30:00+01:00,-350.0,350.0,-25.83839999999998,120.5204,3.269933333333332
2026-01-01 03:45:00+01:00,-350.0,350.0,33.020399999999995,61.66160000000002,3.269933333333332
2026-01-01 04:00:00+01:00,-350.0,350.0,-25.83839999999998,120.5204,3.269933333333332
2026-01-01 04:15:00+01:00,-350.0,350.0,33.020399999999995,61.66160000000002,3.269933333333332
2026-01-01 04:30:00+01:00,-350.0,350.0,-25.83839999999998,120.5204,3.269933333333332
2026-01-01 04:45:00+01:00,-350.0,350.0,33.020399999999995,61.66160000000002,3.269933333333332
2026-01-01 05:00:00+01:00,-350.0,350.0,-25.83839999999998,120.5204,3.269933333333332
2026-01-01 05:15:00+01:00,-350.0,350.0,33.020399999999995,61.66160000000002,3.269933333333332
2026-01-01 05:30:00+01:00,-350.0,350.0,33.020399999999995,120.5204,3.269933333333332
2026-01-01 05:45:00+01:00,0.0,0.0,120.5204,120.5204,0.0
2026-01-01 06:00:00+01:00,0.0,0.0,120.5204,120.5204,0.0
2026-01-01 06:15:00+01:00,0.0,0.0,120.5204,120.5204,0.0
2026-01-01 06:30:00+01:00,0.0,0.0,120.5204,120.5204,0.0
2026-01-01 06:45:00+01:00,0.0,0.0,120.5204,120.5204,0.0
