DATETIME,FREQ_MEAN_HZ,FREQ_MIN_HZ,FREQ_MAX_HZ,FREQ_STD_HZ,SAMPLE_COUNT,FREQ_WORST_DEV_HZ,FREQ_DROOP_MEAN,FREQ_DROOP_ABS_MEAN
2026-01-01 13:45:00+00:00,49.990856,49.962,50.022,0.011577,900,49.962,0.020632,0.024327
2026-01-01 14:00:00+00:00,49.987618,49.962,50.018,0.009994,900,49.962,0.027591,0.028526
2026-01-01 14:15:00+00:00,49.988088,49.957,50.019,0.012703,900,49.957,0.032965,0.034322
2026-01-01 14:30:00+00:00,49.981436,49.954,49.999,0.007723,900,49.954,0.046936,0.046936
2026-01-01 14:45:00+00:00,49.994591,49.973,50.037,0.009039,900,50.037,0.004573,0.009942
2026-01-01 15:00:00+00:00,50.017612,49.986,50.042,0.011371,900,50.042,-0.050696,0.050977
2026-01-01 15:15:00+00:00,50.002621,49.972,50.038,0.014373,900,50.038,-0.011772,0.022918
2026-01-01 15:30:00+00:00,49.996034,49.97,50.03,0.01233,900,50.03,0.005456,0.017456
2026-01-01 15:45:00+00:00,49.998843,49.968,50.031,0.012204,900,49.968,0.002485,0.014708
2026-01-01 16:00:00+00:00,49.99896,49.967,50.036,0.012701,900,50.036,-0.001129,0.017105
2026-01-01 16:15:00+00:00,49.995842,49.976,50.026,0.009333,900,50.026,0.002713,0.008515
2026-01-01 16:30:00+00:00,49.996151,49.963,50.017,0.008543,900,49.963,0.005971,0.007187
2026-01-01 16:45:00+00:00,49.996064,49.969,50.022,0.00745,900,49.969,0.004602,0.005211
2026-01-01 17:00:00+00:00,49.988132,49.963,50.012,0.008394,900,49.963,0.022386,0.022433
2026-01-01 17:15:00+00:00,49.993483,49.97,50.021,0.00918,900,49.97,0.011035,0.012275
2026-01-01 17:30:00+00:00,49.994623,49.967,50.017,0.007763,900,49.967,0.006018,0.00707
2026-01-01 17:45:00+00:00,49.998733,49.977,50.032,0.009061,900,50.032,0.000398,0.006058
2026-01-01 18:00:00+00:00,50.000242,49.966,50.026,0.011723,900,49.966,0.003029,0.013135
2026-01-01 18:15:00+00:00,49.99997,49.952,50.024,0.010744,900,49.952,0.005357,0.010409
2026-01-01 18:30:00+00:00,49.997576,49.971,50.026,0.011334,900,49.971,0.004099,0.012626
2026-01-01 18:45:00+00:00,49.999083,49.972,50.034,0.010815,900,50.034,0.00024,0.010965
2026-01-01 19:00:00+00:00,49.981219,49.959,50.003,0.008421,900,49.959,0.049842,0.049842
2026-01-01 19:15:00+00:00,49.998636,49.965,50.047,0.014721,900,50.047,0.005111,0.023661
2026-01-01 19:30:00+00:00,49.996172,49.967,50.027,0.012238,900,49.967,0.009585,0.016836
2026-01-01 19:45:00+00:00,49.994233,49.962,50.019,0.009336,900,49.962,0.01007,0.011474
2026-01-01 20:00:00+00:00,49.978926,49.91,50.021,0.026481,900,49.91,0.08569,0.089468
2026-01-01 20:15:00+00:00,49.999396,49.973,50.026,0.00904,900,49.973,0.002123,0.006883
