time,Power_lower_kW,Power_upper_kW,Capacity_lower_kWh,Capacity_upper_kWh,Ref_driving_energy_kWh
2026-01-07 20:45:00+01:00,0.0,0.0,0.0,0.0,0.0
2026-01-07 21:00:00+01:00,-150.0,150.0,0.0,0.0,19.66370370370371
2026-01-07 21:15:00+01:00,-150.0,150.0,-15.848799999999983,37.125,19.66370370370371
2026-01-07 21:30:00+01:00,-150.0,150.0,21.276200000000017,21.276200000000017,19.66370370370371
2026-01-07 21:45:00+01:00,0.0,0.0,58.40120000000002,58.40120000000002,0.0
2026-01-07 22:00:00+01:00,0.0,0.0,58.40120000000002,58.40120000000002,0.0
2026-01-07 22:15:00+01:00,0.0,0.0,58.40120000000002,58.40120000000002,0.0
2026-01-07 22:30:00+01:00,0.0,0.0,58.40120000000002,58.40120000000002,0.0
2026-01-07 22:45:00+01:00,0.0,0.0,58.40120000000002,58.40120000000002,0.0
2026-01-07 23:00:00+01:00,0.0,0.0,58.40120000000002,58.40120000000002,0.0
2026-01-07 23:15:00+01:00,0.0,0.0,58.40120000000002,58.40120000000002,0.0
2026-01-07 23:30:00+01:00,-150.0,150.0,58.40120000000002,58.40120000000002,14.508
2026-01-07 23:45:00+01:00,-150.0,150.0,20.522412121212135,95.52620000000002,14.508
2026-01-08 00:00:00+01:00,-150.0,150.0,57.647412121212135,57.647412121212135,14.508
2026-01-08 00:15:00+01:00,-150.0,150.0,19.768624242424252,94.77241212121214,14.508
2026-01-08 00:30:00+01:00,-150.0,150.0,56.89362424242425,56.89362424242425,14.508
2026-01-08 00:45:00+01:00,-150.0,150.0,19.01483636363637,94.01862424242425,14.508
2026-01-08 01:00:00+01:00,-150.0,150.0,56.13983636363637,56.13983636363637,14.508
2026-01-08 01:15:00+01:00,-150.0,150.0,90.65539999999999,93.26483636363636,14.508
2026-01-08 01:30:00+01:00,-150.0,150.0,127.78039999999999,127.78039999999999,14.508
2026-01-08 01:45:00+01:00,-150.0,150.0,164.9054,164.9054,14.508
2026-01-08 02:00:00+01:00,0.0,0.0,202.0304,202.0304,0.0
2026-01-08 02:15:00+01:00,-150.0,150.0,202.0304,202.0304,31.841975308641977
2026-01-08 02:30:00+01:00,-150.0,150.0,188.74239999999998,239.1554,31.841975308641977
2026-01-08 02:45:00+01:00,-300.0,300.0,225.86739999999998,225.86739999999998,75.83397530864198
2026-01-08 03:00:00+01:00,-300.0,300.0,300.1174,300.1174,75.83397530864198
2026-01-08 03:15:00+01:00,-300.0,300.0,374.3674,374.3674,75.83397530864198
2026-01-08 03:30:00+01:00,-300.0,300.0,448.6174,448.6174,75.83397530864198
2026-01-08 03:45:00+01:00,-300.0,300.0,522.8674,522.8674,75.83397530864198
2026-01-08 04:00:00+01:00,-300.0,300.0,597.1174,597.1174,205.63753086419752
2026-01-08 04:15:00+01:00,-300.0,300.0,671.3674,671.3674,205.63753086419752
2026-01-08 04:30:00+01:00,0.0,0.0,745.6174,745.6174,0.0
2026-01-08 04:45:00+01:00,0.0,0.0,745.6174,745.6174,0.0
2026-01-08 05:00:00+01:00,0.0,0.0,745.6174,745.6174,0.0
2026-01-08 05:15:00+01:00,0.0,0.0,745.6174,745.6174,0.0
2026-01-08 05:30:00+01:00,0.0,0.0,745.6174,745.6174,0.0
2026-01-08 05:45:00+01:00,0.0,0.0,745.6174,745.6174,0.0
2026-01-08 06:00:00+01:00,0.0,0.0,745.6174,745.6174,0.0
2026-01-08 06:15:00+01:00,0.0,0.0,745.6174,745.6174,0.0
2026-01-08 06:30:00+01:00,0.0,0.0,745.6174,745.6174,0.0
2026-01-08 06:45:00+01:00,0.0,0.0,745.6174,745.6174,0.0
2026-01-08 07:00:00+01:00,0.0,0.0,745.6174,745.6174,0.0
2026-01-08 07:15:00+01:00,-150.0,150.0,745.6174,745.6174,5.150331384015594
2026-01-08 07:30:00+01:00,-150.0,150.0,707.7386121212121,782.7424,5.150331384015594
