time,Power_lower_kW,Power_upper_kW,Capacity_lower_kWh,Capacity_upper_kWh,Ref_driving_energy_kWh
2026-01-06 07:45:00+01:00,0.0,0.0,0.0,0.0,0.0
2026-01-06 08:00:00+01:00,-50.0,50.0,0.0,0.0,31.46000000000001
2026-01-06 08:15:00+01:00,-50.0,50.0,12.25,12.25,31.46000000000001
2026-01-06 08:30:00+01:00,0.0,0.0,24.5,24.5,0.0
2026-01-06 08:45:00+01:00,0.0,0.0,24.5,24.5,0.0
2026-01-06 09:00:00+01:00,-50.0,50.0,24.5,24.5,3.336666666666665
2026-01-06 09:15:00+01:00,-50.0,50.0,11.744897959183673,36.75,3.336666666666665
2026-01-06 09:30:00+01:00,-50.0,50.0,23.994897959183675,23.994897959183675,3.336666666666665
2026-01-06 09:45:00+01:00,-50.0,50.0,11.239795918367346,36.244897959183675,3.336666666666665
2026-01-06 10:00:00+01:00,-50.0,50.0,23.489795918367346,23.489795918367346,3.336666666666665
2026-01-06 10:15:00+01:00,-50.0,50.0,10.734693877551019,35.73979591836735,3.336666666666665
2026-01-06 10:30:00+01:00,-50.0,50.0,22.984693877551017,22.984693877551017,3.336666666666665
2026-01-06 10:45:00+01:00,-50.0,50.0,10.229591836734691,35.23469387755102,3.336666666666665
2026-01-06 11:00:00+01:00,-50.0,50.0,22.47959183673469,22.47959183673469,3.336666666666665
2026-01-06 11:15:00+01:00,-50.0,50.0,9.724489795918364,34.72959183673469,3.336666666666665
2026-01-06 11:30:00+01:00,-50.0,50.0,21.974489795918366,21.974489795918366,3.336666666666665
2026-01-06 11:45:00+01:00,-50.0,50.0,9.219387755102037,34.224489795918366,3.336666666666665
2026-01-06 12:00:00+01:00,-50.0,50.0,21.469387755102037,21.469387755102037,3.336666666666665
2026-01-06 12:15:00+01:00,-50.0,50.0,22.108799999999974,33.719387755102034,3.336666666666665
2026-01-06 12:30:00+01:00,-50.0,50.0,34.358799999999974,34.358799999999974,3.336666666666665
2026-01-06 12:45:00+01:00,-50.0,50.0,46.608799999999974,46.608799999999974,3.336666666666665
2026-01-06 13:00:00+01:00,-50.0,50.0,58.858799999999974,58.858799999999974,3.336666666666665
2026-01-06 13:15:00+01:00,-50.0,50.0,71.10879999999997,71.10879999999997,3.336666666666665
