time,Power_lower_kW,Power_upper_kW,Capacity_lower_kWh,Capacity_upper_kWh,Ref_driving_energy_kWh
2026-01-01 00:00:00+01:00,0.0,0.0,0.0,0.0,0.0
2026-01-01 00:15:00+01:00,-50.0,50.0,0.0,0.0,19.46706666666667
2026-01-01 00:30:00+01:00,-50.0,50.0,12.5,12.5,19.46706666666667
2026-01-01 00:45:00+01:00,-50.0,50.0,25.0,25.0,19.46706666666667
2026-01-01 01:00:00+01:00,0.0,0.0,37.5,37.5,0.0
2026-01-01 01:15:00+01:00,0.0,0.0,37.5,37.5,0.0
2026-01-01 01:30:00+01:00,0.0,0.0,37.5,37.5,0.0
2026-01-01 01:45:00+01:00,0.0,0.0,37.5,37.5,0.0
2026-01-01 02:00:00+01:00,0.0,0.0,37.5,37.5,0.0
2026-01-01 02:15:00+01:00,0.0,0.0,37.5,37.5,0.0
2026-01-01 02:30:00+01:00,0.0,0.0,37.5,37.5,0.0
2026-01-01 02:45:00+01:00,-50.0,50.0,37.5,37.5,14.362919999999997
2026-01-01 03:00:00+01:00,-50.0,50.0,50.0,50.0,14.362919999999997
2026-01-01 03:15:00+01:00,-50.0,50.0,62.5,62.5,14.362919999999997
2026-01-01 03:30:00+01:00,-50.0,50.0,75.0,75.0,14.362919999999997
2026-01-01 03:45:00+01:00,-50.0,50.0,87.5,87.5,14.362919999999997
2026-01-01 04:00:00+01:00,-50.0,50.0,100.0,100.0,14.362919999999997
2026-01-01 04:15:00+01:00,-50.0,50.0,112.5,112.5,14.362919999999997
2026-01-01 04:30:00+01:00,-50.0,50.0,125.0,125.0,14.362919999999997
2026-01-01 04:45:00+01:00,-50.0,50.0,137.5,137.5,14.362919999999997
2026-01-01 05:00:00+01:00,-50.0,50.0,150.0,150.0,14.362919999999997
2026-01-01 05:15:00+01:00,0.0,0.0,162.5,162.5,0.0
2026-01-01 05:30:00+01:00,-50.0,50.0,162.5,162.5,31.523555555555554
2026-01-01 05:45:00+01:00,-50.0,50.0,175.0,175.0,31.523555555555554
2026-01-01 06:00:00+01:00,-100.0,100.0,187.5,187.5,75.07563555555555
2026-01-01 06:15:00+01:00,-100.0,100.0,212.5,212.5,75.07563555555555
2026-01-01 06:30:00+01:00,-100.0,100.0,237.5,237.5,75.07563555555555
2026-01-01 06:45:00+01:00,-100.0,100.0,262.5,262.5,75.07563555555555
2026-01-01 07:00:00+01:00,-100.0,100.0,287.5,287.5,75.07563555555555
2026-01-01 07:15:00+01:00,-100.0,100.0,312.5,312.5,203.58115555555557
2026-01-01 07:30:00+01:00,-100.0,100.0,337.5,337.5,203.58115555555557
2026-01-01 07:45:00+01:00,0.0,0.0,362.5,362.5,0.0
2026-01-01 08:00:00+01:00,0.0,0.0,362.5,362.5,0.0
2026-01-01 08:15:00+01:00,0.0,0.0,362.5,362.5,0.0
2026-01-01 08:30:00+01:00,0.0,0.0,362.5,362.5,0.0
2026-01-01 08:45:00+01:00,0.0,0.0,362.5,362.5,0.0
2026-01-01 09:00:00+01:00,0.0,0.0,362.5,362.5,0.0
2026-01-01 09:15:00+01:00,0.0,0.0,362.5,362.5,0.0
2026-01-01 09:30:00+01:00,0.0,0.0,362.5,362.5,0.0
